t_offset_ms,rr_interval_ms,bpm_instantane
993388,417,144
993805,415,145
994220,418,144
994638,419,143
995057,416,144
995473,419,143
995892,417,144
996309,416,144
996725,415,145
997140,419,143
997559,418,144
997977,414,145
998391,416,144
998807,414,145
999221,419,143
999640,416,144
1000056,418,144
1000474,425,141
1000899,415,145
1001314,420,143
1001734,418,144
1002152,418,144
1002570,417,144
1002987,421,143
1003408,420,143
1003828,417,144
1004245,418,144
1004663,416,144
1005079,415,145
1005494,416,144
1005910,421,143
1006331,417,144
1006748,418,144
1007166,418,144
1007584,415,145
1007999,417,144
1008416,420,143
1008836,417,144
1009253,422,142
1009675,417,144
1010092,415,145
1010507,416,144
1010923,419,143
1011342,417,144
1011759,419,143
1012178,418,144
1012596,417,144
1013013,421,143
1013434,418,144
1013852,418,144
1014270,422,142
1014692,422,142
1015114,420,143
1015534,419,143
1015953,421,143
1016374,419,143
1016793,420,143
1017213,425,141
1017638,417,144
1018055,422,142
1018477,420,143
1018897,419,143
1019316,422,142
1019738,423,142
1020161,421,143
1020582,421,143
1021003,421,143
1021424,420,143
1021844,419,143
1022263,423,142
1022686,424,142
1023110,420,143
1023530,420,143
1023950,423,142
1024373,421,143
1024794,425,141
1025219,423,142
1025642,420,143
1026061,425,141
1026487,422,142
1026909,420,143
1027329,422,142
1027751,425,141
1028175,421,143
1028597,420,143
1029017,423,142
1029440,420,143
1029859,420,143
1030280,423,142
1030703,424,142
1031127,423,142
1031550,420,143
1031970,424,142
1032394,424,142
1032818,420,143
1033238,426,141
1033664,423,142
1034087,421,143
1034508,419,143
1034926,427,141
1035354,423,142
1035777,423,142
1036200,425,141
1036625,422,142
1037047,421,143
1037468,422,142
1037890,426,141
1038316,425,141
1038741,422,142
1039163,424,142
1039587,424,142
1040011,424,142
1040435,425,141
1040859,426,141
1041286,429,140
1041714,423,142
1042137,429,140
1042567,431,139
1042998,425,141
1043423,428,140
1043851,427,141
1044278,426,141
1044704,425,141
1045128,429,140
1045558,429,140
1045987,425,141
1046412,425,141
1046837,423,142
1047260,429,140
1047689,425,141
1048114,427,141
1048540,431,139
1048972,423,142
1049395,426,141
1049821,427,141
1050248,427,141
1050675,427,141
1051102,427,141
1051529,427,141
1051956,425,141
1052381,429,140
1052810,427,141
1053237,426,141
1053663,428,140
1054091,424,142
1054515,424,142
1054939,431,139
1055370,423,142
1055793,425,141
1056218,423,142
1056641,429,140
1057070,424,142
1057494,427,141
1057921,427,141
1058348,424,142
1058772,425,141
1059197,422,142
1059619,424,142
1060043,427,141
1060470,426,141
1060896,428,140
1061324,421,143
1061745,428,140
1062173,425,141
1062598,423,142
1063021,431,139
1063452,423,142
1063875,425,141
1064300,424,142
1064724,422,142
1065146,429,140
1065575,424,142
1065999,423,142
1066422,423,142
1066845,426,141
1067271,424,142
1067695,426,141
1068121,426,141
1068547,422,142
1068969,428,140
1069397,424,142
1069821,425,141
1070246,430,140
1070676,427,141
1071103,426,141
